GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,업권,코사인군집
1,4,2,2,30,34.0,0,1,0,0,4.0,0.0,0.0,2.0,100.0,2,0
2,3,2,2,29,21.0,0,0,1,0,6.0,0.33,0.0,0.0,100.0,2,0
2,3,1,2,15,47.0,1,0,0,0,9.0,0.0,0.44,3.0,100.0,2,3
1,3,8,2,20,650.0,1,1,1,0,6.0,0.5,0.0,1.0,0.0,2,1
2,6,2,2,10,25.0,0,1,0,0,7.0,0.14,0.0,3.0,6.666666666666667,2,4
1,5,7,2,10,90.0,1,0,0,0,6.0,0.17,0.0,0.0,100.0,2,2
2,4,1,2,15,52.0,1,0,0,0,5.0,0.0,0.2,2.0,100.0,2,3
1,4,1,2,19,250.0,1,1,1,0,12.0,0.33,0.08,0.0,100.0,2,4
1,2,1,2,10,50.0,1,0,0,0,5.0,0.2,0.0,0.0,100.0,2,3
1,6,1,2,10,50.0,1,0,0,0,6.0,0.0,0.0,2.0,26.666666666666668,2,4
1,5,2,2,20,49.0,1,1,0,0,6.0,0.5,0.17,0.0,100.0,2,3
1,4,3,2,20,14.0,1,1,1,0,6.0,0.0,0.0,0.0,100.0,2,0
1,2,1,2,29,97.0,1,1,1,0,9.0,0.33,0.0,0.0,1.4367816091954022,2,1
1,5,1,2,20,220.0,1,1,1,0,3.0,0.0,0.33,0.0,100.0,2,4
1,7,3,2,15,77.0,1,1,1,0,10.0,0.4,0.1,1.0,100.0,2,3
1,4,1,2,20,74.5,1,1,1,0,3.0,0.33,0.0,4.0,100.0,2,3
2,2,1,1,0,5000.0,1,0,0,0,13.0,0.46,0.15,3.0,18.36074455690771,2,1
2,3,1,2,20,245.0,1,1,1,1,10.0,0.1,0.3,0.0,100.0,2,4
1,5,7,1,0,5000.0,1,0,0,0,11.0,0.09,0.0,1.0,100.0,2,1
2,5,2,2,20,78.0,0,1,0,0,8.0,0.0,0.25,3.0,100.0,2,3
1,2,1,2,20,61.0,1,1,1,0,8.0,0.0,0.12,0.0,100.0,2,3
2,4,1,1,0,5000.0,1,0,0,0,12.0,0.5,0.0,0.0,100.0,2,1
2,6,3,2,10,24.0,1,1,0,0,12.0,0.17,0.08,0.0,100.0,2,0
2,6,1,2,10,45.0,1,1,0,0,14.0,0.07,0.0,0.0,100.0,2,3
1,4,1,2,20,55.0,1,0,0,0,6.0,0.17,0.0,4.0,0.8333333333333334,2,1
1,6,1,2,10,150.0,1,1,1,1,4.0,0.25,0.0,0.0,100.0,2,2
2,4,1,2,29,63.0,1,0,0,0,10.0,0.1,0.0,1.0,100.0,2,3
1,6,1,2,20,80.0,1,0,0,0,8.0,0.25,0.0,0.0,100.0,2,3
