GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
2,4,2,2,10,34.0,0,1,1,0,5.0,0.0,0.0,3.0,100.0,1
1,4,1,2,30,97.0,1,1,0,0,24.0,0.25,0.0,0.0,100.0,0
2,5,2,2,10,50.0,0,1,1,0,10.0,0.1,0.0,3.0,100.0,1
1,2,1,2,20,62.0,1,0,1,0,15.0,0.33,0.0,0.0,100.0,1
1,3,3,2,20,10.0,0,1,1,0,10.0,0.1,0.0,2.0,100.0,4
2,4,1,2,20,150.0,1,1,1,0,1.0,0.0,0.0,0.0,100.0,0
2,2,3,2,20,11.0,0,1,1,0,2.0,0.0,0.5,0.0,100.0,4
1,5,3,2,20,8.0,0,1,1,0,6.0,0.0,0.0,1.0,100.0,4
2,6,2,2,10,22.0,0,1,0,0,4.0,0.0,0.0,2.0,100.0,4
1,6,2,2,10,60.0,0,1,0,0,4.0,0.0,0.0,1.0,100.0,1
2,7,2,2,10,31.0,0,1,0,0,1.0,0.0,0.0,0.0,100.0,1
2,5,7,2,10,44.0,1,0,0,0,14.0,0.21,0.07,0.0,100.0,1
1,3,2,2,30,100.0,0,1,1,1,4.0,0.5,0.0,2.0,1.3888888888888888,2
1,3,2,2,10,27.0,0,1,1,0,1.0,0.0,0.0,0.0,100.0,4
1,6,2,2,10,24.0,0,1,0,0,4.0,0.0,0.25,1.0,100.0,4
1,3,3,2,30,8.0,1,0,1,0,8.0,0.5,0.0,1.0,100.0,4
2,2,2,2,20,81.0,0,1,0,0,3.0,0.0,0.67,0.0,100.0,0
1,6,2,2,30,28.0,1,1,1,0,7.0,0.14,0.14,0.0,100.0,4
1,6,3,2,20,5.0,0,1,1,0,11.0,0.18,0.55,0.0,2.5,2
2,6,2,2,5,73.0,0,1,1,0,13.0,0.08,0.15,0.0,100.0,0
2,4,2,2,20,46.0,0,1,1,0,5.0,0.2,0.0,2.0,100.0,1
2,2,3,2,20,11.0,0,1,1,0,5.0,0.0,0.0,0.0,100.0,4
2,5,1,2,20,63.0,1,0,0,0,6.0,0.0,0.0,0.0,100.0,1
2,3,5,2,20,18.0,1,0,0,1,8.0,0.5,0.0,0.0,100.0,4
2,6,2,2,10,72.0,0,1,0,0,10.0,0.0,0.1,1.0,100.0,1
2,6,3,2,20,5.0,0,1,1,0,6.0,0.0,0.33,4.0,100.0,4
2,3,8,2,10,50.0,0,0,0,1,9.0,0.22,0.22,0.0,100.0,1
1,2,2,2,10,31.0,0,1,1,0,9.0,0.44,0.0,0.0,100.0,1
2,6,1,2,10,87.0,1,1,1,0,11.0,0.0,0.0,3.0,100.0,0
1,5,8,2,20,50.0,0,1,0,0,9.0,0.0,0.11,2.0,100.0,1
2,7,2,2,10,32.0,0,1,0,0,5.0,0.2,0.0,0.0,9.166666666666666,3
2,7,7,1,0,5000.0,1,0,0,0,2.0,0.0,0.0,0.0,100.0,2
